moh_name,med_name,moh_specialty,med_specialty,spec_match
ליבנה אופיר,"ד""ר אופיר ליבנה",פסיכיאטריה,פסיכיאטריה,True
דיקופולצב אלנה,"ד""ר אלנה דיקופולצב",יילוד וגינקולוגיה,גניקולוגיה ומיילדות,False
נזאל סאלח,"ד""ר סאלח נזאל",רפואה פנימית,רפואת ריאות והפרעות שינה,False
טל אלון,"ד""ר אלון טל",יילוד וגינקולוגיה,גינקולוגיה אונקולוגית,False
רואש ונסה,"ד""ר ונסה רואש",אנדוקרינולוגיה,אנדוקרינולוגיה,True
מנסור רבחי,"ד""ר רבחי מנסור",ראומטולוגיה,ראומטולוגיה,True
רוזנטל אייל,"ד""ר אייל רוזנטל",כירורגית כלי דם,כירורגית כלי דם,True
גנות גיל,"ד""ר גיל גנות",כירורגיה של היד,כירורגיה של כף היד,False
רוט עומר,"ד""ר עומר רוט",,רפואת עיניים ואסתטיקה רפואית,False
גלאי תות,"ד""ר תות גלאי",גאסטרואנטרולוגיה ילדים,גסטרואנטרולוגיה והפרעות אכילה בילדים,False
סמואל אורית,"ד""ר אורית סמואל",מחלות א.א.ג. וכירורגיית ראש-צוואר,רפואת אף אוזן גרון וניתוחי ראש וצוואר,False
אפשטיין יוליה,"ד""ר יוליה אפשטיין",רפואה פנימית,גסטרואנטרולוגיה,False
בלייכר אינה,"ד""ר אינה בלייכר",יילוד וגינקולוגיה,"רפואת נשים, הריון, הריון בסיכון גבוה",False
רחקוביץ' מיכאל,"ד""ר מיכאל רחקוביץ'",קרדיולוגיה,"קרדיולוגיה, הפרעות קצב",True
סלימאן חוסין,"ד""ר חוסין סלימאן",קרדיולוגיה,קרדיולוגיה פולשנית וצנתורים,True
פרומר מיכאל,"ד""ר מיכאל פרומר",כירורגיה אורולוגית,ברית מילה,False
מוסנקיס ארי,"ד""ר ארי מוסנקיס",רפואה פנימית,נפרולוגיה ויתר לחץ דם,False
זיסמן עידן,"ד""ר עידן זיסמן",יילוד וגינקולוגיה,גינקולוגיה ומיילדות,False
שמר-מאירי לילך,"ד""ר לילך שמר-מאירי",נוירולוגית ילדים והתפתחות הילד,נוירולוגית ילדים והתפתחות הילד,True
כלדאוי אניס,"ד""ר אניס כלדאוי",יילוד וגינקולוגיה,כירורגיה גינקולוגית זעיר פולשנית מתקדמת,False
אלון ערן,"ד""ר ערן אלון",רפואת המשפחה,טיפול בכאב,False
ליאור אורלי,"ד""ר אורלי ליאור",גסטרואנטרולוגיה,גסטרואנטרולוגיה,True
וולפרט אלדר,"ד""ר אלדר וולפרט",יילוד וגינקולוגיה,גינקולוגיה ומיילדות,False
עמית אור,"ד""ר אור עמית",פסיכיאטריה,פסיכיאטריה מבוגרים,True
ליפשיץ דוד,פרופ' דוד ליפשיץ,כירורגיה אורולוגית,אורלוגיה זעיר פולשנית,False
בולוס סרי,"ד""ר סרי בולוס",יילוד וגינקולוגיה,גינקולוגיה ומיילדות,False
סלימאן עלי,"ד""ר עלי סלימאן",כירורגיה אורתופדית,אורתופדיית עמוד השדרה,False
קריידרמן גרמן,"ד""ר גרמן קריידרמן",כירורגיה אורולוגית,,False
רפפורט דניאל,"ד""ר דניאל רפפורט",מחלות עיניים,"רפואת עיניים, נוירואופתלמולוגיה",False
שפר יונתן,"ד""ר יונתן שפר",פסיכיאטריה,פסיכיאטריה,True
פרייס דריו,פרופ' דריו פרייס,רפואת ילדים,מחלות ריאה בילדים,False
זורזטי לוצ'ילה,"ד""ר לוצ'ילה זורזטי",יילוד וגינקולוגיה,"רפואת נשים, הריון בסיכון גבוה",False
עזאיזה מוחמד,"ד""ר מוחמד עזאיזה",רפואה פנימית,רפואת ריאות,False
מוחתסב סאמר,"ד""ר סאמר מוחתסב",גריאטריה,"גריאטריה, פסיכוגריאטריה",True
קאלי ליזה,"ד""ר ליזה קאלי",ראומטולוגיה,ראומטולוגיה,True
קלדרון נדב,"ד""ר נדב קלדרון",נוירולוגיה,,False
דותן עמית,"ד""ר עמית דותן",כירורגיה אורתופדית,אורתופדיית כף רגל וקרסול,False
בנדט אחיהוד,"ד""ר אחיהוד בנדט",רדיולוגיה אבחנתית,רדיולוגיה פולשנית ואונקולוגיה פולשנית,False
כהן עינב,"ד""ר עינב כהן",רדיולוגיה אבחנתית,רדיולוגיה פולשנית,False
דאהוד מוחמד,"ד""ר מוחמד דאהוד",,רפואה פנימית,False
למברג אלכסנדר,"ד""ר אלכסנדר למברג",פסיכיאטריה,פסיכיאטריה,True
פוליאקובה אנה,"ד""ר אנה פוליאקובה",,,False
כץ אלדד,"ד""ר אלדד כץ",רפואה לשיכוך כאב,"רפואת כאב, כירורגיה אורתופדית",False
פיי-כרמון צביה,"ד""ר צביה פיי-כרמון",נוירולוגיה,נוירולוגיה,True
סודרסקי דורון,"ד""ר דורון סודרסקי",רפואה פנימית,קרדיולוגיה פולשנית,False
נסאר וסים,"ד""ר וסים נסאר",מחלות א.א.ג. וכירורגיית ראש-צוואר,"מומחה אא""ג מטפל במבוגרים וילדים",False
וינברג תמיר,"ד""ר תמיר וינברג",מחלות עיניים,"ניתוחי קטרקט, ניתוחי רשתית",False
דורפמן לב,"ד""ר לב דורפמן",רפואת ילדים,גסטרואנטרולוגיה ילדים,False
לביא איתי,"ד""ר איתי לביא",מחלות עיניים,ניתוחי קטרקט בלייזר,False
רודמן וסבולוד,"ד""ר וסבולוד רודמן",גריאטריה,גריאטריה,True
פיירשטיין נוה,"ד""ר נוה פיירשטיין",גסטרואנטרולוגיה,גסטרואנטרולוגיה,True
צ'יובוטרו דן,"ד""ר דן צ'יובוטרו",כירורגיה אורתופדית,אורתופדיה עמוד שדרה,False
ציוני תמי,"ד""ר תמי ציוני",כירורגיה כללית,כירורגית שד,False
יעקבי אלירן,"ד""ר אלירן יעקבי",,רפואה אסתטית,False
רוטר מורמן,"ד""ר מורמן רוטר",רפואה תעסוקתית,רפואה תעסוקתית,True
חסן סאמר,"ד""ר סאמר חסן",כירורגיה פלסטית ואסתטית,"כירורגיה פלסטית, רפואה אסתטית",False
נבו נדב,"ד""ר נדב נבו",כירורגיה כללית,כירורגיה כללית,True
גולדברג נטליה,"ד""ר נטליה גולדברג",רדיולוגיה אבחנתית,רדיולוגיה,True
קיס חסן,"ד""ר חסן קיס",כירורגיה כללית,כירורגיה לפרוסקופית,False
מחאג'נה חוסיין,"ד""ר חוסיין מחאג'נה",רפואה פנימית,"גסטרואנטרולוגיה, מחלות מעי דלקתיות",False
סלימאן מוחמד,"ד""ר מוחמד סלימאן",גריאטריה,גריאטריה,True
בייטלמן יאנה,"ד""ר יאנה בייטלמן",פסיכיאטריה,פסיכיאטריה של מבוגר,True
שטיינברג נתנאל,"ד""ר נתנאל שטיינברג",כירורגיה אורתופדית,כירורגיה אורתופדית,True
סולימני עמרי,"ד""ר עמרי סולימני",כירורגיה כללית,"כירורגיה כללית, ניתוחי כבד, לבלב, דרכי מרה",True
עומר נורית,"ד""ר נורית עומר",נוירולוגיה,נוירולוגיה,True
לבנשטיין רוני,"ד""ר רוני לבנשטיין",נוירולוגיה,נוירולוגיה,True
ויזל אפרת,"ד""ר אפרת ויזל",גריאטריה,"גריאטריה, פסיכוגריאטריה",True
אדומי רביע,"ד""ר רביע אדומי",גריאטריה,גריאטריה,True
תומר אור,"ד""ר אור תומר",רפואה פנימית,קרדיולוגיה,False
גנדלר שי,"ד""ר שי גנדלר",מחלות עיניים,רפואת עיניים,False
סלמאן סעיד,"ד""ר סעיד סלמאן",אונקולוגיה  מסלול רדיותרפיה,אונקולוגיה,True
פרץ רות,"ד""ר רות פרץ",אונקולוגיה מסלול אונקולוגיה רפואית,אונקולוגיה,True
חסן יזיד,"ד""ר יזיד חסן",,אסתטיקת פנים,False
סילברברג דניאל,פרופ' דניאל סילברברג,כירורגית כלי דם,כירורגיית כלי דם,False
גרביץ אביעד,"ד""ר אביעד גרביץ",כירורגיה כללית,השתלות איברים,False
כהן אושר,"ד""ר אושר כהן",כירורגיה כללית,כירורגיית ילדים,False
צימליכמן ראובן,פרופ' ראובן צימליכמן,רפואה פנימית,יתר לחץ דם רפואה פנימית,True
דמיחובסקיה אנסטסיה,"ד""ר אנסטסיה דמיחובסקיה",פסיכיאטריה,"פסיכיאטריה, פסיכוגריאטריה, פסיכיאטריה של הזיקנה",True
גוטצייט אולה,"ד""ר אולה גוטצייט",יילוד וגינקולוגיה,פריון האישה והגבר,False
יעקובי-ביאנו קרין,"ד""ר קרין יעקובי-ביאנו",מחלות ריאה ילדים,מחלות ריאה בילדים,False
דמתי עמית,"ד""ר עמית דמתי",יילוד וגינקולוגיה,גינקולוגיה ומיילדות,False
יעיש איריס,"ד""ר איריס יעיש",אנדוקרינולוגיה,אנדוקרינולוגיה,True
צ'רניאק אולגה,"ד""ר אולגה צ'רניאק",,טיפולי שורש,False
ברקאי גל,"ד""ר גל ברקאי",כירורגיה אורתופדית,"עמוד שדרה, אורתופדיה",False
יגל איתי,"ד""ר איתי יגל",יילוד וגינקולוגיה,גינקו-אונקולוגיה,False
שי דניאל,"ד""ר דניאל שי",יילוד וגינקולוגיה,גינקואונקולוגיה,False
זייד מג'ד,"ד""ר מג'ד זייד",נוירולוגיה,נוירולוגיה,True
מולא מוניר,"ד""ר מוניר מולא",רפואת המשפחה,אסתטיקה רפואית,False
טור אלון,"ד""ר אלון טור",רפואת המשפחה,רפואת משפחה,False
רסקין בנימין,"ד""ר בנימין רסקין",כירורגיה כללית,כירורגיה כללית,True
עסאף מיכאל,"ד""ר מיכאל עסאף",כירורגיה אורתופדית,אורתופדיה ילדים,False
שנדלר גנדי,"ד""ר גנדי שנדלר",רדיולוגיה אבחנתית,רדיולוגיה אבחנתית,True
אלטמן תהל,"ד""ר תהל אלטמן",רפואה פנימית,אסתטיקה רפואית,False
פסטרנק יעל,"ד""ר יעל פסטרנק",יילוד וגינקולוגיה,גינקולוגיה ומיילדות,False
בטש רון,"ד""ר רון בטש",כירורגיה אורתופדית,מומחה לסרקומות ואורתופדיה אונקולוגית,False
רובצ'בסקי ויקטור,"ד""ר ויקטור רובצ'בסקי",כירורגיה של בית החזה,ניתוחי לב,False
אביב אריאל,"ד""ר אריאל אביב",המטולוגיה,המטולוגיה,True
רוטנשטרייך עמיחי,פרופ׳ עמיחי רוטנשטרייך,יילוד וגינקולוגיה,הריון בסיכון גבוה,False
