name,raw_name,specialty,norm_name,norm_specialty,source
"ד""ר קוסלובסקי בנימין",קוסלובסקי בנימין,,בנימין קוסלובסקי,,IMA
פרופ מקורי יוסף,מקורי יוסף,"מומחה באימונולוגיה ואלרגולוגיה, מומחה ברפואה פנימית",יוסף מקורי,באימונולוגיה ואלרגולוגיה מומחה ברפואה פנימית,IMA
פרופ מקורי יוסף,מקורי יוסף,,יוסף מקורי,,IMA
"ד""ר פובזנר אלדד",פובזנר אלדד,מומחה בכירורגיה כללית,אלדד פובזנר,בכירורגיה כללית,IMA
"ד""ר פובזנר אלדד",פובזנר אלדד,,אלדד פובזנר,,IMA
"ד""ר רצקובסקי חנן",רצקובסקי חנן,מומחה ברפואת ילדים,חנן רצקובסקי,ברפואת ילדים,IMA
"ד""ר רצקובסקי חנן",רצקובסקי חנן,,חנן רצקובסקי,,IMA
פרופ רייפן רם,רייפן רם,"מומחה בגסטרואנטרולוגית ילדים, מומחה ברפואת ילדים",רם רייפן,בגסטרואנטרולוגית ילדים מומחה ברפואת ילדים,IMA
פרופ רייפן רם,רייפן רם,,רם רייפן,,IMA
פרופ מוטרו מיכאל,מוטרו מיכאל,מומחה בקרדיולוגיה,מיכאל מוטרו,בקרדיולוגיה,IMA
פרופ מוטרו מיכאל,מוטרו מיכאל,,מיכאל מוטרו,,IMA
"ד""ר איליא יהונתן",איליא יהונתן,מומחה בכירורגיה פלסטית ואסתטית,יהונתן איליא,בכירורגיה פלסטית ואסתטית,IMA
"ד""ר איליא יהונתן",איליא יהונתן,,יהונתן איליא,,IMA
פרופ שגב עמית,שגב עמית,"מומחה בקרדיולוגיה, מומחה ברפואה פנימית",עמית שגב,בקרדיולוגיה מומחה ברפואה פנימית,IMA
פרופ שגב עמית,שגב עמית,,עמית שגב,,IMA
"ד""ר יוסף עאוני",יוסף עאוני,מומחה בכירורגיה אורתופדית,עאוני יוסף,בכירורגיה אורתופדית,IMA
"ד""ר יוסף עאוני",יוסף עאוני,,עאוני יוסף,,IMA
"ד""ר קליין יובל",קליין יובל,מומחה בכירורגיה פלסטית ואסתטית,יובל קליין,בכירורגיה פלסטית ואסתטית,IMA
"ד""ר קליין יובל",קליין יובל,,יובל קליין,,IMA
"ד""ר גברי שגיא",גברי שגיא,"מומחה בקרדיולוגית ילדים, מומחה ברפואת ילדים",שגיא גברי,בקרדיולוגית ילדים מומחה ברפואת ילדים,IMA
"ד""ר גברי שגיא",גברי שגיא,,שגיא גברי,,IMA
פרופ געתון דני,געתון דני,מומחה במחלות עיניים,דני געתון,במחלות עיניים,IMA
פרופ געתון דני,געתון דני,,דני געתון,,IMA
פרופ אוחנה ניסים,אוחנה ניסים,מומחה בכירורגיה אורתופדית,ניסים אוחנה,בכירורגיה אורתופדית,IMA
פרופ אוחנה ניסים,אוחנה ניסים,,ניסים אוחנה,,IMA
"ד""ר לוין דניאל",לוין דניאל,מומחה ברפואה גרעינית,דניאל לוין,ברפואה גרעינית,IMA
"ד""ר לוין דניאל",לוין דניאל,,דניאל לוין,,IMA
"ד""ר פולס ליאון",פולס ליאון,"מומחה בקרדיולוגיה, מומחה ברפואה פנימית",ליאון פולס,בקרדיולוגיה מומחה ברפואה פנימית,IMA
"ד""ר פולס ליאון",פולס ליאון,,ליאון פולס,,IMA
"ד""ר סגל אביחי",סגל אביחי,מומחה במחלות עיניים,אביחי סגל,במחלות עיניים,IMA
"ד""ר סגל אביחי",סגל אביחי,,אביחי סגל,,IMA
"ד""ר קאופמן יובל",קאופמן יובל,מומחה ביילוד וגינקולוגיה,יובל קאופמן,ביילוד וגינקולוגיה,IMA
"ד""ר קאופמן יובל",קאופמן יובל,,יובל קאופמן,,IMA
"ד""ר ג'בארין דיאנהמומחית ביילוד וגינקולוגיה",ג'בארין דיאנהמומחית ביילוד וגינקולוגיה,,וגינקולוגיה ביילוד דיאנהמומחית ג'בארין,,IMA
"ד""ר ג'בארין דיאנה",ג'בארין דיאנה,,דיאנה ג'בארין,,IMA
פרופ שטינברג אברהם,שטינברג אברהם,"מומחה בנוירו ילדים והתפתחות הילד, מומחה בנוירולוגית ילדים, מומחה ברפואת ילדים",אברהם שטינברג,בנוירו ילדים והתפתחות הילד מומחה בנוירולוגית ילדים מומחה ברפואת ילדים,IMA
פרופ שטינברג אברהם,שטינברג אברהם,,אברהם שטינברג,,IMA
"ד""ר פריטש-פרי משה",פריטש-פרי משה,מומחה בכירורגיה אורתופדית,משה פריטש-פרי,בכירורגיה אורתופדית,IMA
"ד""ר פריטש-פרי משה",פריטש-פרי משה,,משה פריטש-פרי,,IMA
