med_name,ima_name,norm_name,med_specialty,ima_specialty,confidence,name_match,specialty_match,med_idx,ima_idx
"ד""ר אחיה אמיר",אמיר אחיה,אחיה אמיר,גסטרואנטרולוגיה ילדים,"מומחה בגסטרואנטרולוגית ילדים, מומחה ברפואת ילדים",1.0,True,False,1330,5244
"ד""ר קרלוס אידסס",אידסס קרלוס,קרלוס אידסס,רפואת עור ומין,מומחה במחלות עור ומין,1.0,True,False,1341,844
"ד""ר לאוניד ברוורמן",ברוורמן לאוניד,לאוניד ברוורמן,פסיכיאטריה,מומחה בפסיכיאטריה,1.0,True,False,1386,4801
"ד""ר רן טליסמן",טליסמן רן,רן טליסמן,כירורגיה פלסטית,מומחה בכירורגיה פלסטית ואסתטית,1.0,True,False,1482,4773
"ד""ר ענר קינן",קינן ענר,ענר קינן,כירורגית ילדים,"מומחה בכירורגית ילדים, מומחה בכירורגיה כללית",1.0,True,False,1495,4749
"ד""ר יורם דקל",דקל יורם,יורם דקל,כירורגיה אורולוגית,מומחה בכירורגיה אורולוגית,1.0,True,False,1507,1658
"ד""ר אחמד אסדי",אסדי אחמד,אחמד אסדי,"כירורגיה לפרוסקופית מתקדמת וכללית , כירורגיה בריאטרית",מומחה בכירורגיה כללית,1.0,True,False,1544,1851
"ד""ר בדראן בדראן",בדראן בדראן,בדראן בדראן,כירורגיה כללית,מומחה בכירורגיה כללית,1.0,True,False,1584,4105
"ד""ר חגי קליין",קליין חגי,חגי קליין,כירורגיה של הכתף,מומחה בכירורגיה אורתופדית,1.0,True,False,1597,3412
"ד""ר סעד סיידה",סיידה סעד,סעד סיידה,כירורגיה כללית,מומחה בכירורגיה כללית,1.0,True,False,1620,4676
"ד""ר אורי פרקש",פרקש אורי,אורי פרקש,כירורגיה של היד,"מומחה בכירורגיה של היד, מומחה בכירורגיה אורתופדית",1.0,True,False,1650,2870
פרופ' דניאל לנדאו,לנדאו דניאל,דניאל לנדאו,"רפואת ילדים, נפרולוגיה ילדים","מומחה בנפרולוגית ילדים, מומחה ברפואת ילדים",1.0,True,False,1699,376
פרופ' בנימין וולוביץ,וולוביץ בנימין,בנימין וולוביץ,רפואת ריאות ילדים,"מומחה במחלות ריאה ילדים, מומחה ברפואת ילדים",1.0,True,False,1703,3428
"ד""ר רונן גלילי",גלילי רונן,רונן גלילי,כירורגיה של בית החזה,מומחה בכירורגיה של בית החזה,1.0,True,False,1742,2585
"ד""ר אנטון וול",וול אנטון,אנטון וול,"נוירו-אונקולוגיה, רדיוכירורגיה סטריוטקטית, טיפול בגידולי מוח שפירים וממאירים",מומחה בנוירוכירורגיה,1.0,True,False,1798,5280
"ד""ר ענאן עבאסי",עבאסי ענאן,ענאן עבאסי,רפואת עיניים,"מומחה במינהל רפואי, מומחה במחלות עיניים",1.0,True,False,1807,5065
"ד""ר אריאל גימפל",גימפל אריאל,אריאל גימפל,גינקולוגיה ומיילדות,מומחה ביילוד וגינקולוגיה,1.0,True,False,1808,4723
"ד""ר אלון טל",טל אלון,אלון טל,גינקולוגיה אונקולוגית,מומחה ביילוד וגינקולוגיה,1.0,True,False,1854,3696
"ד""ר עידן זיסמן",זיסמן עידן,עידן זיסמן,גינקולוגיה ומיילדות,מומחה ביילוד וגינקולוגיה,1.0,True,False,1888,292
"ד""ר סרי בולוס",בולוס סרי,סרי בולוס,גינקולוגיה ומיילדות,מומחה ביילוד וגינקולוגיה,1.0,True,False,1909,2012
"ד""ר דניאל רפפורט",רפפורט דניאל,דניאל רפפורט,"רפואת עיניים, נוירואופתלמולוגיה",מומחה במחלות עיניים,1.0,True,False,1917,805
פרופ' דריו פרייס,פרייס דריו,דריו פרייס,מחלות ריאה בילדים,"מומחה במחלות ריאה ילדים, מומחה ברפואת ילדים",1.0,True,False,1919,3773
"ד""ר רוני אייכל",אייכל רוני,רוני אייכל,נוירולוגיה,"מומחה בטיפול נמרץ כללי, מומחה בנוירולוגיה",1.0,True,False,1944,4915
"ד""ר נדב נבו",נבו נדב,נדב נבו,כירורגיה כללית,מומחה בכירורגיה כללית,1.0,True,False,1980,3296
"ד""ר אושר כהן",כהן אושר,אושר כהן,כירורגיית ילדים,"מומחה בכירורגית ילדים, מומחה בכירורגיה כללית",1.0,True,False,2017,80
"ד""ר הייתם עוויסאת",עוויסאת הייתם,הייתם עוויסאת,כירורגיה כללית,"מתמחה ברפואה דחופה, מומחה בכירורגיה כללית",1.0,True,False,2088,8
"ד""ר ראפת עביד",עביד ראפת,ראפת עביד,פנימית נפרולוגיה ויתר לחץ דם,"מתמחה בגריאטריה, מומחה בנפרולוגיה, מומחה ברפואה פנימית",1.0,True,False,2132,5063
"ד""ר לואי עבוד",עבוד לואי,לואי עבוד,נוירולוגיה,מומחה בנוירולוגיה,1.0,True,False,2150,4252
"ד""ר יניר כסיף",כסיף יניר,יניר כסיף,רפואת עיניים,מומחה במחלות עיניים,1.0,True,False,2159,5760
"ד""ר חביב שחאדה",שחאדה חביב,חביב שחאדה,פסיכיאטריה,מומחה בפסיכיאטריה,1.0,True,False,2171,5868
