moh_name,ima_name,norm_name,moh_specialty,ima_specialty,confidence,name_match,specialty_match,moh_idx,ima_idx
אל חאג' מאדי,אל חאג' מאדי,מאדי חאג' אל,כירורגיה של היד,"מומחה בכירורגיה של היד, מומחה בכירורגיה אורתופדית",1.0,True,False,32788,5054
כבירי דורון,כבירי דורון,דורון כבירי,יילוד וגינקולוגיה,מומחה ביילוד וגינקולוגיה,1.0,True,False,32809,1843
פז זיו,פז זיו,זיו פז,רפואה פנימית,"מומחה במינהל רפואי, מומחה ברפואה פנימית",1.0,True,True,32833,3669
דאהר אמיר,דאהר אמיר,אמיר דאהר,רפואה פנימית,"מומחה בנפרולוגיה, מומחה ברפואה פנימית",1.0,True,False,32864,4101
מנסור אחמד,מנסור אחמד,אחמד מנסור,מחלות עיניים,מומחה במחלות עיניים,1.0,True,False,32932,2020
גוטלויב ליאור,גוטלויב ליאור,ליאור גוטלויב,רפואה פנימית,מומחה ברפואה פנימית,1.0,True,False,32957,268
אופיר איתי,אופיר איתי,איתי אופיר,כירורגיה אורתופדית,מומחה בכירורגיה אורתופדית,1.0,True,True,32972,1340
בלטקסה אריק,בלטקסה אריק,אריק בלטקסה,רפואה פנימית,"מומחה במחלות ריאה, מומחה ברפואה פנימית",1.0,True,False,32994,530
הרשקוביץ גבריאל,הרשקוביץ גבריאל,גבריאל הרשקוביץ,פסיכיאטריה,מומחה בפסיכיאטריה,1.0,True,False,33009,3983
ניסימוב נסים,ניסימוב נסים,נסים ניסימוב,כירורגיה כללית,מומחה בכירורגיה כללית,1.0,True,False,33012,5722
אמטיראת עאהד,אמטיראת עאהד,עאהד אמטיראת,מחלות עיניים,מומחה במחלות עיניים,1.0,True,False,33067,3102
משען נדב,משען נדב,נדב משען,יילוד וגינקולוגיה,מומחה ביילוד וגינקולוגיה,1.0,True,False,33085,4785
ברנט בני,ברנט בני,בני ברנט,יילוד וגינקולוגיה,מומחה ביילוד וגינקולוגיה,1.0,True,False,33117,1084
יאסין עאדל,יאסין עאדל,עאדל יאסין,פסיכיאטריה,"מומחה בפסיכיאטריה, מומחה בפסיכיאטריה של הילד ומתבגר",1.0,True,False,33159,3576
קוסלובסקי בנימין,קוסלובסקי בנימין,בנימין קוסלובסקי,רפואה פנימית,"מומחה בגסטרואנטרולוגיה, מומחה ברפואה פנימית",1.0,True,False,33172,82
ברבארה ראמז,ברבארה ראמז,ראמז ברבארה,מחלות עיניים,מומחה במחלות עיניים,1.0,True,False,33174,900
שביט ערן,שביט ערן,ערן שביט,דרמטולוגיה-מחלות עור ומין,מומחה במחלות עור ומין,1.0,True,False,33179,240
נוימן גל,נוימן גל,גל נוימן,רפואת ילדים,"מומחה בפרמקולוגיה קלינית, מומחה ברפואת ילדים",1.0,True,False,33245,711
אריכא-תמיר ברק,אריכא-תמיר ברק,ברק אריכא-תמיר,יילוד וגינקולוגיה,מומחה ביילוד וגינקולוגיה,1.0,True,False,33252,656
פרל ליאור,פרל ליאור,ליאור פרל,רפואה פנימית,"מומחה בקרדיולוגיה, מומחה ברפואה פנימית",1.0,True,False,33253,4632
אבו טיר סאמר,אבו טיר סאמר,סאמר טיר אבו,מחלות עיניים,מומחה במחלות עיניים,1.0,True,False,33293,974
שפירא יובל,שפירא יובל,יובל שפירא,נוירוכירורגיה,מומחה בנוירוכירורגיה,1.0,True,False,33299,5660
רוזנבאום עומר,רוזנבאום עומר,עומר רוזנבאום,דרמטולוגיה-מחלות עור ומין,מומחה במחלות עור ומין,1.0,True,False,33312,5636
וול אנטון,וול אנטון,אנטון וול,נוירוכירורגיה,מומחה בנוירוכירורגיה,1.0,True,False,33335,5280
פטרוב ולנטין,פטרוב ולנטין,ולנטין פטרוב,כירורגיה אורתופדית,מומחה בכירורגיה אורתופדית,1.0,True,False,33336,1306
שלח מקבל,שלח מקבל,מקבל שלח,כירורגיה אורתופדית,מומחה בכירורגיה אורתופדית,1.0,True,False,33341,406
טרביה ח'ליל,טרביה ח'ליל,ח'ליל טרביה,רפואה פנימית,"מתמחה בהמטולוגיה, מומחה ברפואה פנימית",1.0,True,False,33392,2880
ברמן איתן,ברמן איתן,איתן ברמן,דרמטולוגיה-מחלות עור ומין,מומחה במחלות עור ומין,1.0,True,False,33411,3761
ג'רה מוחמד,ג'רה מוחמד,מוחמד ג'רה,מחלות עיניים,מומחה במחלות עיניים,1.0,True,False,33412,2686
קעואר מנאר,קעואר מנאר,מנאר קעואר,כירורגיה פלסטית ואסתטית,מומחה בכירורגיה פלסטית ואסתטית,1.0,True,False,33465,829
נץ אורי,נץ אורי,אורי נץ,כירורגיה כללית,מומחה בכירורגיה כללית,1.0,True,False,33478,5266
סויסה תומר,סויסה תומר,תומר סויסה,רפואת ילדים,מומחה ברפואת ילדים,1.0,True,False,33489,3901
אבו סאלח עלא,אבו סאלח עלא,עלא סאלח אבו,נוירולוגיה,"מומחה בטיפול נמרץ כללי, מומחה בנוירולוגיה",1.0,True,False,33491,188
